file,document_id,published,section,genre,authors,words,headline_en,url
2025-12-31_wirtschaft_german-economy-remains-crisis-five-charts-illustrating_ld1918223,1918223,2025-12-31,Wirtschaft,,"Jannik Belser, Berlin",1022,The German economy remains in crisis. Five charts illustrating the seriousness of the situation.,https://www.nzz.ch/wirtschaft/die-deutsche-wirtschaft-steckt-weiterhin-in-der-krise-fuenf-grafiken-zum-ernst-der-lage-ld.1918223
2025-07-01_english_even-tariffs-hold-trump-continues-steer-us_ld1891391,1891391,2025-07-01,NZZ in English,,Peter A. Fischer,1592,"Even with tariffs on hold, Trump continues to steer the US toward isolation",https://www.nzz.ch/english/even-with-tariffs-on-hold-trump-continues-to-steer-the-us-toward-isolation-ld.1891391
2026-07-27_wirtschaft_shock-follows-shock-now-super-el-nino_ld10016531,10016531,2026-07-27,Wirtschaft,,"Catherine Bosley, Michael Rasch, Roland Shaw",1186,Shock follows shock: Now a super El Niño threatens the global economy,https://www.nzz.ch/wirtschaft/schock-folgt-auf-schock-jetzt-bedroht-ein-super-el-nino-die-weltwirtschaft-ld.10016531
2025-12-08_wirtschaft_there-sensible-ways-out-looming-sovereign-debt_ld1914752,1914752,2025-12-08,Wirtschaft,,Peter A. Fischer,1521,There are sensible ways out of the looming sovereign debt crisis.,https://www.nzz.ch/wirtschaft/es-gibt-vernuenftige-auswege-aus-der-drohenden-staatsschuldenkrise-ld.1914752
2025-09-15_wissenschaft_us-vaccine-skeptics-shaping-health-policy-what_ld1901856,1901856,2025-09-15,Wissenschaft,,Georg Rüschemeyer,1047,"In the US, vaccine skeptics are shaping health policy. What are the consequences for vaccination rates worldwide?",https://www.nzz.ch/wissenschaft/in-den-usa-bestimmen-impfkritiker-die-gesundheitspolitik-welche-folgen-hat-das-fuer-die-impfquoten-weltweit-ld.1901856
2026-03-02_wirtschaft_global-coal-consumption-record-high-europe-s_ld1924371,1924371,2026-03-02,Wirtschaft,,Michael Rasch,1546,Global coal consumption is at a record high. Europe's focus on reducing its own CO2 emissions has failed.,https://www.nzz.ch/wirtschaft/der-globale-kohleverbrauch-ist-auf-einem-rekordhoch-der-europaeische-fokus-auf-die-reduktion-des-eigenen-co2-ausstosses-hat-versagt-ld.1924371
2026-06-25_international_bonuses-babies-india-ushers-radical-shift-population_ld10012805,10012805,2026-06-25,International,,Daniel Rickenbacher,723,Bonuses for babies: India ushers in a radical shift in population policy,https://www.nzz.ch/international/praemien-fuer-babys-indien-laeutet-eine-radikale-wende-in-der-bevoelkerungspolitik-ein-ld.10012805
2025-09-05_sport-fussball_14-billion-football-players-transfer-market-booming_ld1899514,1899514,2025-09-05,Sport,,Dominic Wirth,1081,14 billion for football players: The transfer market is booming like never before. But a court ruling calls the system into question,https://www.nzz.ch/sport/fussball/14-milliarden-fuer-fussballspieler-der-transfermarkt-boomt-wie-noch-nie-doch-ein-gerichtsurteil-stellt-das-system-infrage-ld.1899514
2025-06-04_english_trends-behind-karol-nawrocki-s-polish-election_ld1887401,1887401,2025-06-04,NZZ in English,Inside Europe,Eike Hoppmann,686,The trends behind Karol Nawrocki's Polish election win,https://www.nzz.ch/english/how-karol-nawrocki-won-the-polish-election-ld.1887401
2025-04-29_international_thanks-trump-canada-mark-carney-s-liberals_ld1881978,1881978,2025-04-29,International,,"David Signer, Chicago",927,"Thanks to Trump: In Canada, Mark Carney's Liberals defeat the Conservatives",https://www.nzz.ch/international/kanadas-liberale-bleiben-dank-trump-staerkste-partei-ld.1881978
2025-10-31_international_setback-right-wing-populists-netherlands-social-liberals_ld1909329,1909329,2025-10-31,International,,"Daniel Imwinkelried, Brussels",892,Setback for the right-wing populists in the Netherlands: The social liberals win the parliamentary election,https://www.nzz.ch/international/niederlage-der-rechtspopulisten-in-den-niederlanden-geert-wilders-partei-pvv-verliert-bei-den-parlamentswahlen-viele-sitze-ld.1909329
2025-09-01_international_trump-threat-russia-force-change-europe-agrees_ld1890045,1890045,2025-09-01,International,,Andreas Rüesch,1183,Trump and the threat from Russia force a change: Europe agrees on much higher military spending,https://www.nzz.ch/international/nato-militaerausgaben-steigen-stark-an-trump-und-die-russland-gefahr-erzwingen-eine-wende-ld.1890045
