ID,Wert
AFG,
AGO,
ALB,Trzaskowski
AND,
ARE,Trzaskowski
ARG,
ARM,
ATG,
AUS,Trzaskowski
AUT,Trzaskowski
AZE,
BDI,
BEL,Trzaskowski
BEN,
BFA,
BGD,
BGR,Trzaskowski
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,Nawrocki
CHE,Trzaskowski
CHL,
CHN,Trzaskowski
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,
CUB,
CUW,
CYP,Trzaskowski
CZE,Trzaskowski
DEU,Trzaskowski
DJI,
DMA,
DNK,Trzaskowski
DOM,
DZA,
ECU,
EGY,Trzaskowski
ERI,
ESH,
ESP,Trzaskowski
EST,
ETH,
FIN,Trzaskowski
FJI,
FRA,Trzaskowski
FRO,
FSM,
GAB,
GBR,Trzaskowski
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,Trzaskowski
GRD,
GRL,
GTM,
GUM,
GUY,
HKG,
HMD,
HND,
HRV,Trzaskowski
HTI,
HUN,Trzaskowski
IDN,
IMN,
IND,
IRL,Trzaskowski
IRN,
IRQ,
ISL,Trzaskowski
ISR,
ITA,Trzaskowski
JAM,
JEY,
JOR,
JPN,Trzaskowski
KAZ,
KEN,
KGZ,
KHM,
KOR,
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,
LUX,Trzaskowski
LVA,
MAR,
MDA,
MDG,
MEX,
MKD,
MLI,
MLT,Trzaskowski
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NCL,
NER,
NGA,
NIC,
NIU,
NLD,Trzaskowski
NOR,Trzaskowski
NPL,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,
PRI,
PRK,
PRT,Trzaskowski
PRY,
PYF,
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SGS,
SLB,
SLE,
SLV,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,
SVN,
SWE,Trzaskowski
SWZ,
SYC,
SYR,
TCA,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,Trzaskowski
TWN,
TZA,
UGA,
UKR,
URY,
USA,Nawrocki
UZB
VCT
VEN
VIR
VNM
VUT
XKX
YEM
ZAF
ZMB
ZWE
