ID,Wert
Albania,Ziel knapp erreicht
Andorra,kein Mitglied
Austria,kein Mitglied
Belarus,kein Mitglied
Belgium,"<1,5%"
Bosnia and Herzegovina,kein Mitglied
Bulgaria,Ziel knapp erreicht
Croatia,"1,5–1,9%"
Cyprus,kein Mitglied
Czech Republic,Ziel knapp erreicht
Denmark,"2,2–3%"
Estonia,>3%
Finland,"2,2–3%"
France,Ziel knapp erreicht
Germany,Ziel knapp erreicht
Greece,"2,2–3%"
Hungary,Ziel knapp erreicht
Iceland,"<1,5%"
Ireland,kein Mitglied
Italy,"1,5–1,9%"
Kosovo,kein Mitglied
Latvia,>3%
Liechtenstein,kein Mitglied
Lithuania,>3%
Luxembourg,"<1,5%"
Malta,kein Mitglied
Moldova,kein Mitglied
Monaco,kein Mitglied
Montenegro,"1,5–1,9%"
Netherlands,Ziel knapp erreicht
North Macedonia,Ziel knapp erreicht
Norway,"2,2–3%"
Poland,>3%
Portugal,"<1,5%"
Romania,"2,2–3%"
Russia,kein Mitglied
San Marino,kein Mitglied
Serbia,kein Mitglied
Slovakia,Ziel knapp erreicht
Slovenia,"<1,5%"
Spain,"<1,5%"
Sweden,"2,2–3%"
Switzerland,kein Mitglied
Turkey,Ziel knapp erreicht
Ukraine,kein Mitglied
United Kingdom,"2,2–3%"
Vatican City,kein Mitglied
