,China,Mexico,Canada,EU,Switzerland
01.01.2025,18.41%,,0.25%,3.47%,3.47%
04.02.2025,28.41%,,0.25%,3.47%,3.47%
04.03.2025,38.41%,25.00%,25.13%,3.47%,3.47%
07.03.2025,38.41%,18.36%,17.73%,3.47%,3.47%
12.03.2025,39.81%,18.36%,17.73%,4.87%,4.87%
03.04.2025,39.88%,18.36%,17.73%,4.95%,4.95%
05.04.2025,39.88%,18.36%,17.73%,13.21%,13.21%
09.04.2025,143.15%,18.36%,17.73%,13.21%,13.21%
03.05.2025,143.45%,18.36%,17.73%,13.51%,13.51%
14.05.2025,48.44%,18.36%,17.73%,13.51%,13.51%
04.06.2025,49.84%,20.00%,19.40%,14.91%,14.91%
23.06.2025,49.88%,20.04%,19.44%,14.95%,14.95%
30.06.2025,49.88%,20.04%,19.44%,14.95%,14.95%
