,USA,China,Canada
01.01.2025,2.08%,5.73%,1.12%
04.02.2025,2.26%,5.73%,1.12%
10.02.2025,2.26%,5.73%,1.12%
04.03.2025,2.75%,5.73%,1.30%
07.03.2025,2.67%,5.73%,1.30%
10.03.2025,2.67%,5.73%,1.30%
12.03.2025,4.02%,5.73%,1.30%
13.03.2025,4.02%,5.73%,1.32%
03.04.2025,4.10%,5.73%,1.32%
05.04.2025,11.85%,5.73%,1.32%
09.04.2025,13.75%,5.73%,1.32%
10.04.2025,13.75%,6.25%,1.32%
12.04.2025,13.75%,6.50%,1.32%
03.05.2025,14.04%,6.50%,1.32%
14.05.2025,12.30%,5.80%,1.32%
04.06.2025,13.67%,5.80%,1.32%
23.06.2025,13.70%,5.80%,1.32%
30.06.2025,13.71%,5.80%,1.32%
