ID,Wert
Alabama,60 001 bis 80 000 $
Alaska,80 001 bis 100 000 $
Arizona,60 001 bis 80 000 $
Arkansas,40 001 bis 60 000 $
California,0 bis 40 000 $
Colorado,60 001 bis 80 000 $
Connecticut,60 001 bis 80 000 $
Delaware,60 001 bis 80 000 $
District of Columbia,40 001 bis 60 000 $
Florida,80 001 bis 100 000 $
Georgia,60 001 bis 80 000 $
Hawaii,60 001 bis 80 000 $
Idaho,60 001 bis 80 000 $
Illinois,40 001 bis 60 000 $
Indiana,40 001 bis 60 000 $
Iowa,60 001 bis 80 000 $
Kansas,40 001 bis 60 000 $
Kentucky,40 001 bis 60 000 $
Louisiana,60 001 bis 80 000 $
Maine,0 bis 40 000 $
Maryland,40 001 bis 60 000 $
Massachusetts,80 001 bis 100 000 $
Michigan,40 001 bis 60 000 $
Minnesota,40 001 bis 60 000 $
Mississippi,60 001 bis 80 000 $
Missouri,40 001 bis 60 000 $
Montana,100 001 bis 120 000 $
Nebraska,80 001 bis 100 000 $
Nevada,100 001 bis 120 000 $
New Hampshire,40 001 bis 60 000 $
New Jersey,0 bis 40 000 $
New Mexico,0 bis 40 000 $
New York,40 001 bis 60 000 $
North Carolina,60 001 bis 80 000 $
North Dakota,60 001 bis 80 000 $
Ohio,60 001 bis 80 000 $
Oklahoma,60 001 bis 80 000 $
Oregon,40 001 bis 60 000 $
Pennsylvania,40 001 bis 60 000 $
Puerto Rico,
Rhode Island,40 001 bis 60 000 $
South Carolina,60 001 bis 80 000 $
South Dakota,100 001 bis 120 000 $
Tennessee,60 001 bis 80 000 $
Texas,100 001 bis 120 000 $
Utah,80 001 bis 100 000 $
Vermont,40 001 bis 60 000 $
Virginia,60 001 bis 80 000 $
Washington,80 001 bis 100 000 $
West Virginia,40 001 bis 60 000 $
Wisconsin,60 001 bis 80 000 $
Wyoming,100 001 bis 120 000 $
