Jahr,Todesfälle
1901,10
1902,8
1903,7
1904,8
1905,11
1906,12
1907,26
1908,54
1909,19
1910,19
1911,27
1912,34
1913,36
1914,27
1915,30
1916,28
1917,18
1918,14
1919,25
1920,25
1921,13
1922,18
1923,52
1924,28
1925,28
1926,16
1927,29
1928,25
1929,38
1930,19
1931,58
1932,27
1933,28
1934,17
1935,46
1936,121
1937,157
1938,39
1939,53
1940,34
1941,149
1942,84
1943,34
1944,224
1945,27
1946,71
1947,88
1948,58
1949,75
1950,44
1951,96
1952,54
1953,63
1954,114
1955,60
1956,59
1957,42
1958,17
1959,43
1960,20
1961,26
1962,9
1963,5
1964,7
1965,4
1966,3
1967,5
1968,5
1969,9
1970,17
1971,2
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,1
1979,0
1980,0
1981,1
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
