,F Zinsen,F Militär,USA Zinsen,USA Militär,CH Zinsen,CH Militär
2010,4.94,3.28,7.16,10.85,2.76,2.49
2011,5.39,3.17,8.21,10.77,2.51,2.48
2012,5.15,3.15,8.17,10.45,2.26,2.41
2013,4.53,3.1,7.64,9.63,1.95,2.44
2014,4.32,2.94,7.85,9.07,1.80,2.33
2015,4.06,3.08,7.48,8.65,1.69,2.29
2016,3.84,3.37,8.20,8.36,1.46,2.35
2017,3.59,3.14,8.50,8.31,1.23,2.38
2018,3.64,3.16,9.67,8.47,1.00,2.36
2019,3.17,3.12,9.83,8.65,0.90,2.48
2020,2.36,3.03,6.07,7.37,0.68,2.36
2021,2.68,2.91,6.85,7.1,0.58,2.22
2022,3.76,3.08,10.84,7.78,0.71,2.47
2023,3.37,3.2,12.91,7.78,0.98,2.61
