,Bruttostaatsverschuldung,Staatsausgaben
1970,16.5,15.5
1971,15.7,15.5
1972,14.5,22.8
1973,13.6,25.7
1974,13.5,25.8
1975,19.2,31.9
1976,24.5,38.2
1977,26.9,35.1
1978,31.4,31.7
1979,35.2,30.8
1980,31.0,32.4
1981,39.3,35.3
1982,43.0,35.8
1983,46.7,34.7
1984,51.3,34.6
1985,59.4,37.5
1986,59.8,38.9
1987,57.2,37.5
1988,56.8,36.2
1989,55.4,36.2
1990,56.0,38.5
1991,58.5,41.4
1992,52.6,42.5
1993,57.4,44.1
1994,60.2,42.5
1995,62.2,41.5
1996,63.3,42.1
1997,58.7,41.1
1998,55.6,40.8
1999,55.4,41.0
2000,54.2,41.1
2001,57.4,42.5
2002,60.0,42.3
2003,63.9,43.8
2004,67.1,44.7
2005,72.2,45.8
2006,73.7,44.5
2007,72.7,44.4
2008,75.6,44.8
2009,87.8,49.9
2010,100.2,51.3
2011,114.4,50.0
2012,129.0,48.9
2013,131.4,49.9
2014,132.9,51.7
2015,131.2,48.1
2016,131.5,44.8
2017,126.1,45.4
2018,121.5,43.2
2019,116.6,42.4
2020,134.9,49.2
2021,124.5,47.5
2022,112.4,44.1
2023,99.1,42.3
2024,94.9,42.8
2025,90.9,43.7
