Zeit,Wert
Q1 2018,"102,81"
Q2 2018,"102,69"
Q3 2018,"102,90"
Q4 2018,"104,80"
Q1 2019,"104,02"
Q2 2019,"102,76"
Q3 2019,"104,97"
Q4 2019,"105,47"
Q1 2020,"102,41"
Q2 2020,"91,66"
Q3 2020,"101,62"
Q4 2020,"104,31"
Q1 2021,"101,69"
Q2 2021,"102,67"
Q3 2021,"104,48"
Q4 2021,"106,81"
Q1 2022,"105,77"
Q2 2022,"104,20"
Q3 2022,"106,17"
Q4 2022,"107,02"
Q1 2023,"105,74"
Q2 2023,"103,04"
Q3 2023,"104,77"
Q4 2023,"105,92"
Q1 2024,"104,57"
Q2 2024,"102,74"
Q3 2024,"104,58"
Q4 2024,"105,50"
Q1 2025,"104,63"
Q2 2025,"102,69"
Q3 2025,"104,93"
Q4 2025,"106,12"
